timestamp,symbol,quantity,price,execution_id,theoretical_value,account
1664976762,TSLA,-700,241.56,18539,241.54671385427642,CCCC
1664980289,MSFT,-1000,256.34,321103,256.3393314954029,DDDD
1664978915,META,-1000,133.11,200615,133.08391488472944,BBBB
1664976792,GOOGL,-700,101.44,21088,101.39768023167935,DDDD
1664980998,SPY,-200,383.23,386183,383.28304361314497,EEEE
1664979342,GOOGL,500,101.87,238621,101.88762301262747,DDDD
1664979883,AMZN,300,128.03,283367,128.07297443997066,AAAA
1664979958,TSLA,-500,232.67,288447,232.68369653213747,DDDD
1664979045,META,1000,132.02,211810,132.03621497531668,BBBB
1664978654,SPY,-500,366.66,177843,366.72339089229945,BBBB
1664979017,GOOGL,300,102.59,211042,102.60160271218919,AAAA
1664976925,SPY,1000,380.19,33860,380.1359225881127,EEEE
1664979491,AMD,100,67.47,252129,67.44789765588386,EEEE
1664978515,AAPL,300,143.58,168170,143.5433628455284,AAAA
1664979935,SPY,900,386.38,286550,386.348066146282,DDDD
1664977649,AMD,-200,65.27,92271,65.22655722353578,DDDD
1664980636,AMZN,100,126.54,350380,126.56031924928358,DDDD
1664981305,AMZN,-400,133.82,416577,133.8670406516656,AAAA
1664979351,META,700,131.72,239192,131.70865585948297,CCCC
1664980611,GOOG,-1000,101.2,347430,101.30031857868707,CCCC
1664980642,AAPL,700,137.73,351118,137.70824096840752,CCCC
1664978405,AMZN,-100,123.02,156713,123.01059244334223,AAAA
1664977798,GOOGL,-600,100.55,108504,100.5215313457459,BBBB
1664979457,GOOG,1000,101.81,247242,101.83484113243316,EEEE
1664978516,AAPL,900,144.08,169116,144.1866949663174,AAAA
1664980174,F,-400,11.72,310296,11.656403354824981,DDDD
1664979317,SPY,900,377.21,236626,377.1835476095413,BBBB
1664981893,AMD,-500,66.6,467277,66.64459600097975,CCCC
1664980590,AMD,700,67.77,345385,67.72481922447119,CCCC
1664980500,AMZN,100,126.13,338113,126.12268540664897,AAAA
1664981694,GOOGL,-600,100.73,451839,100.74538177275224,BBBB
1664976894,AAPL,600,147.84,30248,147.84671872537524,AAAA
1664981188,F,700,11.35,406061,11.342068345879433,CCCC
1664980858,GOOGL,1000,100.05,371289,100.10276715173093,BBBB
1664981297,SPY,900,381.67,415151,381.7079465502312,EEEE
1664978713,GOOGL,-900,101.41,181321,101.43533690427188,EEEE
1664980455,SPY,-800,378.53,335787,378.50568133484467,AAAA
1664977931,MSFT,300,248.41,120484,248.3146815709999,DDDD
1664977038,AAPL,-400,147.8,42541,147.73241089860895,DDDD
1664980848,META,600,127.21,369674,127.23879237835656,BBBB
1664978309,TSLA,200,236.05,150022,236.0851516151081,DDDD
1664976649,MSFT,400,249.78,6394,249.84650101005278,AAAA
1664978916,GOOG,400,103.08,200834,103.1647426252904,BBBB
1664977022,AAPL,-200,147.03,41781,146.99456799460782,DDDD
1664981816,GOOGL,400,102.61,461278,102.59159864314871,DDDD
1664980275,AMZN,100,127.92,319905,127.86830743146454,BBBB
1664979095,MSFT,-800,250.25,216477,250.25115929830804,AAAA
1664981385,TSLA,1000,227.1,426488,227.20871129504908,AAAA
1664980709,AMZN,900,127.92,356951,127.93545816024724,EEEE
1664981856,TSLA,-900,228.8,464856,228.82601833098735,AAAA
1664981088,GOOGL,-700,99.34,396632,99.32343363309897,CCCC
1664978200,SPY,-400,373.21,137932,373.1801932100144,EEEE
1664977051,SPY,-300,377.0,43757,377.0319284293536,AAAA
1664979443,SPY,400,380.56,245589,380.551271149755,DDDD
1664976744,GOOG,-500,103.62,16160,103.58741608885344,EEEE
